"Comment","Designator","Footprint","LCSC Part #"
"100 nF","C41 C51","0402","C1525"
"27 pF","C81 C101","0402","C88884"
"10 nF","C91 C141","0402","C15195"
"220 pF","C111 C124 C125 C151 C181","0402","C393675"
"3.9 pF","C121 C131","0402","C172816"
"8.2 pF","C122","0402","C172816"
"5.6 pF","C123","0402","C161329"
"CON-SMA-EDGE-S","J1","Plugin","C496550"
"27 nH","L121 L123 L131","0402","C115488"
"22 nH","L122","0402","C12670"
"56 kOhm","R171","0402","C25796"
"CC1101RGPR","U1","QFN-20-EP(4x4)","C29953"
"NX3225GA-26MHZ-TI","X1","SMD3225-4P","C485372"
